1917-10-01,"		108",13.2,-0.4,24.5
1917-11-01,"		108",3.3,-7.6,18.1
1917-12-01,"		108",-5.7,-20.4,10.9
1918-01-01,"		108",-7.5,-21.8,5.6
1918-02-01,"		108",0.1,-11.4,14.4
1918-03-01,"		108",4.3,-6.1,18.9
1918-04-01,"		108",10.9,-0.1,26.3
1918-05-01,"		108",14.8,4.3,26.8
1918-06-01,"		108",20.1,11.1,31.5
1918-07-01,"		108",23.3,16.1,36.1
1918-08-01,"		108",24.7,17.3,35.2
1918-09-01,"		108",19.2,8.7,29.9
1918-10-01,"		108",12.9,-2.6,25
1918-11-01,"		108",4.6,-6.2,20.4
1918-12-01,"		108",-1.5,-13,9.7
1919-01-01,"		108",-4.7,-17.5,7.2
1919-02-01,"		108",-1.7,-18.3,13.3
1919-03-01,"		108",4.9,-5.9,21
1919-04-01,"		108",10.2,-3.9,22.9
1919-05-01,"		108",16.1,3.1,28.3
1919-06-01,"		108",21,11.8,30
1919-07-01,"		108",25.6,16.3,35.9
1919-08-01,"		108",26.3,17,37.5
1919-09-01,"		108",19.5,8.6,28.8
1919-10-01,"		108",12.8,-2.2,26.3
1919-11-01,"		108",5.8,-9.3,19.9
1919-12-01,"		108",-2.7,-19.3,8.5
1920-01-01,"		108",-6.8,-22.3,7.5
1920-02-01,"		108",-3.2,-18.5,8.5
1920-03-01,"		108",5.1,-7.8,22.2
1920-04-01,"		108",10.4,-0.2,22.3
1920-05-01,"		108",17.3,7.7,29.3
1920-06-01,"		108",21.6,12.5,35.6
1920-07-01,"		108",25.2,19.5,34.3
1920-08-01,"		108",25,18,33.6
1920-09-01,"		108",21.1,10.6,33
1920-10-01,"		108",14.7,2.7,25.9
1920-11-01,"		108",7.3,-4.6,21.9
1920-12-01,"		108",-1.2,-18.9,12.9
1921-01-01,"		108",-2.7,-15.3,8.5
1921-02-01,"		108",-1.3,-11.6,9.5
1921-03-01,"		108",3.3,-6.6,17
1921-04-01,"		108",10.9,-0.7,28.3
1921-05-01,"		108",16.2,5.9,26.7
1921-06-01,"		108",20.1,9.3,32.7
1921-07-01,"		108",24,17.4,32.3
1921-08-01,"		108",25.6,17.3,36
1921-09-01,"		108",19.8,9.8,30.8
1921-10-01,"		108",12.3,-0.5,24
1921-11-01,"		108",3.4,-9.4,17.2
1921-12-01,"		108",-0.7,-13.6,11.7
1922-01-01,"		108",-7.8,-21,4
1922-02-01,"		108",0.7,-17.6,12.4
1922-03-01,"		108",2.7,-10.2,14.5
1922-04-01,"		108",12.3,-0.8,28.4
1922-05-01,"		108",16,6,32
1922-06-01,"		108",21.7,11,34.5
1922-07-01,"		108",24.1,16.2,34.5
1922-08-01,"		108",25.8,19,36.3
1922-09-01,"		108",20.7,6.2,32.5
1922-10-01,"		108",14.1,1.3,25.2
1922-11-01,"		108",3.5,-11.6,19.1
1922-12-01,"		108",-3.9,-15.7,8.5
1923-01-01,"		108",-5.8,-20.4,4.3
1923-02-01,"		108",-3,-14.1,9.5
1923-03-01,"		108",4.8,-8.2,19.5
1923-04-01,"		108",9.3,-1.3,23
1923-05-01,"		108",16.6,7.7,27.7
1923-06-01,"		108",20.9,10.1,33
1923-07-01,"		108",24.2,16.5,32.3
1923-08-01,"		108",26.1,19.1,35.9
1923-09-01,"		108",19.4,5.6,30.4
1923-10-01,"		108",12.5,0.4,22.1
1923-11-01,"		108",4.7,-10.9,16.7
1923-12-01,"		108",-2.1,-16.8,8.9
1924-01-01,"		108",-2.5,-18.7,9.2
1924-02-01,"		108",-1.8,-13.2,12.1
1924-03-01,"		108",1.1,-9.6,20.2
1924-04-01,"		108",11.1,-2.8,24.5
1924-05-01,"		108",16,7.6,26.5
1924-06-01,"		108",21.2,12,33.4
1924-07-01,"		108",25.6,19.3,35.4
1924-08-01,"		108",27,16.7,37.4
1924-09-01,"		108",20.3,8.6,32.4
1924-10-01,"		108",12.6,-4,26.2
1924-11-01,"		108",3.3,-9,16.5
1924-12-01,"		108",-1.6,-14,10.7
1925-01-01,"		108",-4.1,-15.4,6
1925-02-01,"		108",-2.9,-15.2,7.7
1925-03-01,"		108",1.5,-10.3,12.1
1925-04-01,"		108",9.8,-3.3,23
1925-05-01,"		108",16.1,7.2,29.6
1925-06-01,"		108",20.6,10.6,30.3
1925-07-01,"		108",23.3,14.5,33.7
1925-08-01,"		108",25.2,17.4,33.6
1925-09-01,"		108",19.8,8.1,30
1925-10-01,"		108",13.3,-1.3,23.8
1925-11-01,"		108",7.4,-6.2,18.6
1925-12-01,"		108",-1.4,-17.4,14.1
1926-01-01,"		108",-4.8,-18.6,6.2
1926-02-01,"		108",-2.5,-15.1,7.7
1926-03-01,"		108",3.1,-6.5,19.4
1926-04-01,"		108",9.1,-1.2,20.3
1926-05-01,"		108",16.7,5.1,25.8
1926-06-01,"		108",20.7,10.3,31.6
1926-07-01,"		108",24.1,15.6,33
1926-08-01,"		108",25.4,18.2,33
1926-09-01,"		108",20.3,9,30
1926-10-01,"		108",11.5,-1.1,23.6
1926-11-01,"		108",6.3,-4.5,17.5
1926-12-01,"		108",-4,-16.9,12.5
1927-01-01,"		108",-4.1,-17.7,11.7
1927-02-01,"		108",-2.9,-14.8,9.7
1927-03-01,"		108",3.4,-7.1,19.3
1927-04-01,"		108",11.7,-1.2,24.8
1927-05-01,"		108",13.8,4.9,26.9
1927-06-01,"		108",21.2,11.1,33.5
1927-07-01,"		108",25.7,18.5,35
1927-08-01,"		108",25,16.8,33.3
1927-09-01,"		108",19.6,8.2,29.5
1927-10-01,"		108",12.8,0.8,26.6
1927-11-01,"		108",7.7,-4.5,19.9
1927-12-01,"		108",-2,-23.1,10.2
1928-01-01,"		108",-5.2,-22.2,7.9
1928-02-01,"		108",-2.3,-15.1,9.3
1928-03-01,"		108",4.1,-4.9,17.9
1928-04-01,"		108",12.1,0.6,24.3
1928-05-01,"		108",16.5,5.7,29
1928-06-01,"		108",21.5,12.1,32.2
1928-07-01,"		108",25,18,33.7
1928-08-01,"		108",25.7,17.5,35.2
1928-09-01,"		108",20.3,3.2,31.7
1928-10-01,"		108",12.3,-1.5,25.7
1928-11-01,"		108",5.2,-7.7,18
1928-12-01,"		108",-1.9,-16.3,13.3
1929-01-01,"		108",-4.8,-17.5,7.4
1929-02-01,"		108",-2.8,-17.1,16
1929-03-01,"		108",4.4,-8.8,20.6
1929-04-01,"		108",10.4,-0.3,22.5
1929-05-01,"		108",16.7,5.9,29.9
1929-06-01,"		108",22.9,13,35.5
1929-07-01,"		108",25.9,18.4,34.2
1929-08-01,"		108",26.2,16.2,36.7
1929-09-01,"		108",18.8,8.6,28.5
1929-10-01,"		108",12.8,-1,28.4
1929-11-01,"		108",4.9,-8.7,17.5
1929-12-01,"		108",1.5,-16.8,14.4
1930-01-01,"		108",-4.5,-17.4,8.6
1930-02-01,"		108",0.9,-11.3,15.8
1930-03-01,"		108",6.3,-3.5,21.1
1930-04-01,"		108",12.5,0.1,24.3
1930-05-01,"		108",16.7,6,29.5
1930-06-01,"		108",21.4,11,34.2
1930-07-01,"		108",25.5,19.2,35.2
1930-08-01,"		108",26.4,16.4,37.4
1930-09-01,"		108",19.5,7.6,29.1
1930-10-01,"		108",14,3.8,25.5
1930-11-01,"		108",3.1,-8.5,16.8
1930-12-01,"		108",-0.8,-12.5,11
1931-01-01,"		108",-3.9,-22.5,7.4
1931-02-01,"		108",-2.7,-17.8,10.7
1931-03-01,"		108",4.7,-10.7,19.4
1931-04-01,"		108",8.8,-1,21.2
1931-05-01,"		108",16.3,5.8,28.6
1931-06-01,"		108",21.4,12.5,32.3
1931-07-01,"		108",22.4,15.2,31
1931-08-01,"		108",25,15.2,36
