사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2021-09-01,공항철도 1호선,649,마곡나루(서울식물원),153183,149546,10225,9958
2021-09-01,공항철도 1호선,650,김포공항,299127,163042,19279,12298
2021-09-01,공항철도 1호선,651,계양,200732,190584,23455,21945
2021-09-01,공항철도 1호선,652,검암,145163,144038,15068,14983
2021-09-01,공항철도 1호선,653,청라국제도시,137790,131793,9822,9623
2021-09-01,공항철도 1호선,654,운서,140705,143735,23006,23211
2021-09-01,공항철도 1호선,655,공항화물청사,46008,49912,7759,7582
2021-09-01,공항철도 1호선,656,인천공항1터미널,82043,85083,14161,13962
2021-09-01,공항철도 1호선,657,인천공항2터미널,49391,46080,7061,6963
2021-09-01,공항철도 1호선,658,영종,58902,60085,17460,17462
2021-09-01,9호선2~3단계,632,언주,201088,204283,21284,20969
2021-09-01,9호선2~3단계,633,선정릉,185803,202601,18565,18998
2021-09-01,9호선2~3단계,634,삼성중앙,122262,126915,17065,16977
2021-09-01,9호선2~3단계,635,봉은사,305919,310699,32457,31309
2021-09-01,9호선2~3단계,636,종합운동장,78322,78588,14396,12951
2021-09-01,9호선2~3단계,637,삼전,129576,125628,28567,27620
2021-09-01,9호선2~3단계,638,석촌고분,112146,111575,26546,26528
2021-09-01,9호선2~3단계,639,석촌,166850,148264,26848,23591
2021-09-01,9호선2~3단계,640,송파나루,93295,102309,19861,20442
2021-09-01,9호선2~3단계,641,한성백제,47697,43822,13197,11816
2021-09-01,9호선2~3단계,642,올림픽공원(한국체대),124891,124786,20550,20132
2021-09-01,9호선2~3단계,643,둔촌오륜,22725,20018,5003,5352
2021-09-01,9호선2~3단계,644,중앙보훈병원,164595,144455,65337,64204
2021-09-01,우이신설선,702,북한산우이,50525,46308,30440,32040
2021-09-01,우이신설선,703,솔밭공원,36251,33417,24076,25682
2021-09-01,우이신설선,704,4.19민주묘지,42324,40940,31747,27938
2021-09-01,우이신설선,705,가오리,62826,60447,39256,40436
2021-09-01,우이신설선,706,화계,49374,44081,35123,35137
2021-09-01,우이신설선,707,삼양,27040,27942,22947,25709
2021-09-01,우이신설선,708,삼양사거리,32045,32467,31182,30845
2021-09-01,우이신설선,709,솔샘,102450,93184,31388,32355
2021-09-01,우이신설선,710,북한산보국문,109137,102674,35531,35655
2021-09-01,우이신설선,711,정릉,73492,64900,38151,35399
2021-09-01,우이신설선,712,성신여대입구(돈암),55731,64628,24328,23076
2021-09-01,우이신설선,713,보문,24632,24044,12574,12539
2021-09-01,우이신설선,714,신설동,30358,30746,21861,20101
