시군구명,line,역명,lat,lng
강서구,05호선,우장산,37.548768,126.836318
강서구,05호선,화곡,37.541513,126.840461
강서구,09호선,개화,37.578608,126.798153
강서구,09호선,공항시장,37.563726,126.810678
강서구,09호선,신방화,37.567532,126.816601
강서구,09호선,마곡나루,37.567336,126.829497
강서구,09호선,양천향교,37.568381,126.841333
강서구,09호선,증미,37.557402,126.861939
강서구,09호선,염창,37.546936,126.874916
강서구,09호선,가양,37.561391,126.854456
관악구,02호선,낙성대,37.47693,126.963693
관악구,02호선,서울대입구,37.481247,126.952739
관악구,02호선,봉천,37.482362,126.941892
관악구,02호선,신림,37.484201,126.929715
관악구,02호선,신대방,37.487462,126.913149
광진구,02호선,강변,37.535095,127.094681
광진구,02호선,건대입구,37.540693,127.07023
광진구,02호선,구의,37.537077,127.085916
광진구,05호선,군자,37.557121,127.079542
광진구,05호선,아차산,37.551691,127.089761
광진구,05호선,광나루,37.545303,127.10357
광진구,07호선,중곡,37.565923,127.08432
광진구,07호선,어린이대공원,37.548014,127.074658
광진구,07호선,뚝섬유원지,37.53154,127.066704
구로구,01호선,신도림,37.508725,126.891295
구로구,01호선,구로,37.503039,126.881966
구로구,01호선,개봉,37.494594,126.85868
구로구,01호선,오류동,37.494526,126.845365
구로구,02호선,구로디지털단지,37.485266,126.901401
구로구,02호선,대림,37.49297,126.895801
구로구,02호선,도림천,37.514287,126.882768
구로구,07호선,남구로,37.486056,126.887249
구로구,07호선,천왕,37.486637,126.838713
구로구,07호선,온수,37.492258,126.823388
금천구,01호선,가산디지털단지,37.481072,126.882343
금천구,01호선,금천구청,37.455626,126.89398
노원구,01호선,광운대,37.623632,127.061835
노원구,01호선,월계,37.633212,127.058831
노원구,01호선,녹천,37.644799,127.051269
노원구,01호선,석계,37.614805,127.065851
노원구,04호선,당고개,37.670272,127.079066
노원구,04호선,상계,37.660878,127.073572
노원구,04호선,노원,37.655128,127.061368
노원구,06호선,태릉입구,37.617983,127.07512
노원구,06호선,화랑대,37.620064,127.084689
노원구,07호선,수락산,37.67785,127.055315
노원구,07호선,마들,37.66494,127.057675
노원구,07호선,중계,37.644583,127.064303
노원구,07호선,하계,37.636352,127.06799
노원구,07호선,공릉,37.625742,127.072896
도봉구,01호선,창동,37.653166,127.047731
도봉구,01호선,방학,37.667503,127.044273
